date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:04:43	30144/30144	---M-Z	200	added ('OK')	text/html	etag:W/%22639aba88-75c0%22	https://themewagon.github.io/dashmin/button.html	C:/Os%20meus%20Sites/QuahtHub/themewagon.github.io/dashmin/button.html	(from https://themewagon.github.io/dashmin/index.html)
22:04:43	24041/24041	---M-Z	200	added ('OK')	text/html	etag:W/%22639aba88-5de9%22	https://themewagon.github.io/dashmin/typography.html	C:/Os%20meus%20Sites/QuahtHub/themewagon.github.io/dashmin/typography.html	(from https://themewagon.github.io/dashmin/index.html)
22:04:44	38647/38647	---M-Z	200	added ('OK')	text/html	etag:W/%22639aba88-96f7%22	https://themewagon.github.io/dashmin/element.html	C:/Os%20meus%20Sites/QuahtHub/themewagon.github.io/dashmin/element.html	(from https://themewagon.github.io/dashmin/index.html)
22:04:44	22264/22264	---M-Z	200	added ('OK')	text/html	etag:W/%22639aba88-56f8%22	https://themewagon.github.io/dashmin/widget.html	C:/Os%20meus%20Sites/QuahtHub/themewagon.github.io/dashmin/widget.html	(from https://themewagon.github.io/dashmin/index.html)
22:04:44	31673/31673	---M-Z	200	added ('OK')	text/html	etag:W/%22639aba88-7bb9%22	https://themewagon.github.io/dashmin/form.html	C:/Os%20meus%20Sites/QuahtHub/themewagon.github.io/dashmin/form.html	(from https://themewagon.github.io/dashmin/index.html)
22:04:44	26117/26117	---M-Z	200	added ('OK')	text/html	etag:W/%22639aba88-6605%22	https://themewagon.github.io/dashmin/table.html	C:/Os%20meus%20Sites/QuahtHub/themewagon.github.io/dashmin/table.html	(from https://themewagon.github.io/dashmin/index.html)
22:04:45	14311/14311	---M-Z	200	added ('OK')	text/html	etag:W/%22639aba88-37e7%22	https://themewagon.github.io/dashmin/chart.html	C:/Os%20meus%20Sites/QuahtHub/themewagon.github.io/dashmin/chart.html	(from https://themewagon.github.io/dashmin/index.html)
22:04:45	4580/4580	---M-Z	200	added ('OK')	text/html	etag:W/%22639aba88-11e4%22	https://themewagon.github.io/dashmin/signin.html	C:/Os%20meus%20Sites/QuahtHub/themewagon.github.io/dashmin/signin.html	(from https://themewagon.github.io/dashmin/index.html)
22:04:45	4850/4850	---M-Z	200	added ('OK')	text/html	etag:W/%22639aba88-12f2%22	https://themewagon.github.io/dashmin/signup.html	C:/Os%20meus%20Sites/QuahtHub/themewagon.github.io/dashmin/signup.html	(from https://themewagon.github.io/dashmin/index.html)
22:04:45	13143/13143	---M-Z	200	added ('OK')	text/html	etag:W/%22639aba88-3357%22	https://themewagon.github.io/dashmin/404.html	C:/Os%20meus%20Sites/QuahtHub/themewagon.github.io/dashmin/404.html	(from https://themewagon.github.io/dashmin/index.html)
22:04:45	12682/12682	---M-Z	200	added ('OK')	text/html	etag:W/%22639aba88-318a%22	https://themewagon.github.io/dashmin/blank.html	C:/Os%20meus%20Sites/QuahtHub/themewagon.github.io/dashmin/blank.html	(from https://themewagon.github.io/dashmin/index.html)
22:04:51	79665/79665	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213731-2JYXAt9UqpcPHzAIfI0LH2lnx4Q%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.0/dist/js/bootstrap.bundle.min.js	C:/Os%20meus%20Sites/QuahtHub/cdn.jsdelivr.net/npm/bootstrap@5.0.0/dist/js/bootstrap.bundle.min.js	(from https://themewagon.github.io/dashmin/index.html)
22:04:51	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15851%22	https://code.jquery.com/jquery-3.4.1.min.js	C:/Os%20meus%20Sites/QuahtHub/code.jquery.com/jquery-3.4.1.min.js	(from https://themewagon.github.io/dashmin/index.html)
22:04:51	194890/194890	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639aba88-2f94a%22	https://themewagon.github.io/dashmin/lib/chart/chart.min.js	C:/Os%20meus%20Sites/QuahtHub/themewagon.github.io/dashmin/lib/chart/chart.min.js	(from https://themewagon.github.io/dashmin/index.html)
22:04:51	2302/2302	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639aba88-8fe%22	https://themewagon.github.io/dashmin/lib/easing/easing.min.js	C:/Os%20meus%20Sites/QuahtHub/themewagon.github.io/dashmin/lib/easing/easing.min.js	(from https://themewagon.github.io/dashmin/index.html)
22:04:52	9028/9028	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639aba88-2344%22	https://themewagon.github.io/dashmin/lib/waypoints/waypoints.min.js	C:/Os%20meus%20Sites/QuahtHub/themewagon.github.io/dashmin/lib/waypoints/waypoints.min.js	(from https://themewagon.github.io/dashmin/index.html)
22:04:52	42766/42766	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639aba88-a70e%22	https://themewagon.github.io/dashmin/lib/owlcarousel/owl.carousel.min.js	C:/Os%20meus%20Sites/QuahtHub/themewagon.github.io/dashmin/lib/owlcarousel/owl.carousel.min.js	(from https://themewagon.github.io/dashmin/index.html)
22:04:52	326657/326657	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639aba88-4fc01%22	https://themewagon.github.io/dashmin/lib/tempusdominus/js/moment.min.js	C:/Os%20meus%20Sites/QuahtHub/themewagon.github.io/dashmin/lib/tempusdominus/js/moment.min.js	(from https://themewagon.github.io/dashmin/index.html)
22:04:52	32832/32832	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639aba88-8040%22	https://themewagon.github.io/dashmin/lib/tempusdominus/js/moment-timezone.min.js	C:/Os%20meus%20Sites/QuahtHub/themewagon.github.io/dashmin/lib/tempusdominus/js/moment-timezone.min.js	(from https://themewagon.github.io/dashmin/index.html)
22:04:53	56879/56879	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639aba88-de2f%22	https://themewagon.github.io/dashmin/lib/tempusdominus/js/tempusdominus-bootstrap-4.min.js	C:/Os%20meus%20Sites/QuahtHub/themewagon.github.io/dashmin/lib/tempusdominus/js/tempusdominus-bootstrap-4.min.js	(from https://themewagon.github.io/dashmin/index.html)
22:04:53	5590/5590	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639aba88-15d6%22	https://themewagon.github.io/dashmin/js/main.js	C:/Os%20meus%20Sites/QuahtHub/themewagon.github.io/dashmin/js/main.js	(from https://themewagon.github.io/dashmin/index.html)
22:04:53	85120/85120	---M--	200	added ('OK')	font/woff2	etag:W/%2214c80-7RZ9M14uDLAKgvLXNn8Fy01lV88%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-icons.woff2?231ce25e89ab5804f9a6c427b8d325c9	C:/Os%20meus%20Sites/QuahtHub/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-iconsfb95.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
22:04:54	113532/113532	---M--	200	added ('OK')	font/woff	etag:W/%221bb7c-47yt78jTFi+euyu4fJGbVQNZ9TA%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-icons.woff?231ce25e89ab5804f9a6c427b8d325c9	C:/Os%20meus%20Sites/QuahtHub/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-iconsfb95.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
22:04:54	4976/4976	---M--	200	added ('OK')	image/png	etag:%22639aba88-1370%22	https://themewagon.github.io/dashmin/lib/owlcarousel/assets/owl.video.play.png	C:/Os%20meus%20Sites/QuahtHub/themewagon.github.io/dashmin/lib/owlcarousel/assets/owl.video.play.png	(from https://themewagon.github.io/dashmin/lib/owlcarousel/assets/owl.carousel.min.css)
22:04:54	3451/3451	---M--	200	added ('OK')	image/jpeg	etag:%22639aba88-d7b%22	https://themewagon.github.io/dashmin/img/testimonial-1.jpg	C:/Os%20meus%20Sites/QuahtHub/themewagon.github.io/dashmin/img/testimonial-1.jpg	(from https://themewagon.github.io/dashmin/widget.html)
22:04:54	3066/3066	---M--	200	added ('OK')	image/jpeg	etag:%22639aba88-bfa%22	https://themewagon.github.io/dashmin/img/testimonial-2.jpg	C:/Os%20meus%20Sites/QuahtHub/themewagon.github.io/dashmin/img/testimonial-2.jpg	(from https://themewagon.github.io/dashmin/widget.html)
22:04:55	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
